"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Interval Thickness delta zi (cm)","Dry Bulk Density DBD gcm^-3","Dry Bulk Density Uncertainty u(DBD) gcm^-3","Aerial Dry Mass delta mi/S gcm^-2","Aerial Dry Mass Uncertainty u(delta mi/S) gcm^-2","Cumulative Mass Depth Layer m(i) gcm^-2","Cumulative Mass Depth Layer Uncertainty u(m(i)) gcm^-2","Mass Depth Section mi gcm^-2","Mass Depth Section Uncertainty u(mi) gcm^-2"
0,,,,,,,0,0,,
,0.5,1,0.2261039229,0.00484595921113976,0.2261039229,0.00484595921113976,,,0.11305196145,0.00242297960556988
1,,,,,,,0.2261039229,0.00484595921113976,,
,1.5,1,0.2746882932,0.00432061904887806,0.2746882932,0.00432061904887806,,,0.3634480695,0.00405075271763127
2,,,,,,,0.5007922161,0.00649238551239514,,
,2.5,1,0.2843778351,0.00463432525075806,0.2843778351,0.00463432525075806,,,0.64298113365,0.00514244858537571
3,,,,,,,0.7851700512,0.00797671863433656,,
,3.5,1,0.2923544318,0.00467090143652252,0.2923544318,0.00467090143652252,,,0.9313472671,0.00610478092507119
4,,,,,,,1.077524483,0.00924366596113686,,
,4.5,1,0.2956197131,0.00463959658514291,0.2956197131,0.00463959658514291,,,1.22533433955,0.00693571512670161
5,,,,,,,1.3731441961,0.0103426890543006,,
,5.5,1,0.2947480327,0.00476324447674645,0.2947480327,0.00476324447674645,,,1.52051821245,0.00769140643337022
6,,,,,,,1.6678922288,0.0113868219806584,,
,6.5,1,0.2891041073,0.00485553861355663,0.2891041073,0.00485553861355663,,,1.81244428245,0.00840975155498292
7,,,,,,,1.9569963361,0.0123788517257032,,
,7.5,1,0.2827177258,0.00488023406914475,0.2827177258,0.00488023406914475,,,2.098355199,0.00908692226036312
8,,,,,,,2.2397140619,0.0133061134301713,,
,8.5,1,0.283515794,0.00489095019031923,0.283515794,0.00489095019031923,,,2.3814719589,0.00972145440504346
9,,,,,,,2.5232298559,0.0141765316061712,,
,9.5,1,0.2640140018,0.0048692259510596,0.2640140018,0.0048692259510596,,,2.6552368568,0.010315733833858
10,,,,,,,2.7872438577,0.0149894432766278,,
,10.5,1,0.2692085312,0.00488216891893884,0.2692085312,0.00488216891893884,,,2.9218481233,0.0108766078448147
11,,,,,,,3.0564523889,0.0157644848661888,,
,11.5,1,0.2531629857,0.00495727364887089,0.2531629857,0.00495727364887089,,,3.18303388175,0.0114194190769756
12,,,,,,,3.3096153746,0.0165255422036944,,
,12.5,1,0.2693093553,0.00501488352547771,0.2693093553,0.00501488352547771,,,3.44427005225,0.0119513194567198
13,,,,,,,3.5789247299,0.0172697018474608,,
,13.5,1,0.2696469513,0.00459451201365851,0.2696469513,0.00459451201365851,,,3.71374820555,0.0124257267840159
14,,,,,,,3.8485716812,0.01787042647907,,
,14.5,1,0.2745619596,0.00425142820785304,0.2745619596,0.00425142820785304,,,3.985852661,0.0128138492157335
15,,,,,,,4.1231336408,0.0183691802852052,,
,15.5,1,0.2674133862,0.00476096618222665,0.2674133862,0.00476096618222665,,,4.2568403339,0.013205305446004
16,,,,,,,4.390547027,0.0189761319382713,,
,16.5,1,0.2701793491,0.00506584324550184,0.2701793491,0.00506584324550184,,,4.52563670155,0.0136551266422666
17,,,,,,,4.6607263761,0.0196406810250224,,
,17.5,1,0.2714458912,0.00507364739663284,0.2714458912,0.00507364739663284,,,4.7964493217,0.0141178486335446
18,,,,,,,4.9321722673,0.0202854196168587,,
,18.5,1,0.2719199112,0.00488024829301431,0.2719199112,0.00488024829301431,,,5.0681322229,0.0145500285348993
19,,,,,,,5.2040921785,0.0208642055308489,,
,19.5,1,0.2679578322,0.00477484530653728,0.2679578322,0.00477484530653728,,,5.3380710946,0.014945143797973
20,,,,,,,5.4720500107,0.0214036029708754,,
,20.5,1,0.3255403219,0.00480194960944216,0.3255403219,0.00480194960944216,,,5.63482017165,0.0153238960476877
21,,,,,,,5.7975903326,0.0219356545420119,,
,21.5,1,0.3264181524,0.00472711262170807,0.3264181524,0.00472711262170807,,,5.9607994088,0.0156898970209438
22,,,,,,,6.124008485,0.0224392186567358,,
,22.5,1,0.3328866929,0.00469383778805108,0.3328866929,0.00469383778805108,,,6.29045183145,0.0160395540853707
23,,,,,,,6.4568951779,0.0229248914306117,,
,23.5,1,0.331073079,0.00455467355965867,0.331073079,0.00455467355965867,,,6.6224317174,0.0163695322584804
24,,,,,,,6.7879682569,0.0233729693950167,,
,24.5,1,0.3018454793,0.0045982045881578,0.3018454793,0.0045982045881578,,,6.93889099655,0.0166863333458502
25,,,,,,,7.0898137362,0.0238209820069397,,
,25.5,1,0.3133382967,0.00472418377002402,0.3133382967,0.00472418377002402,,,7.24648288455,0.0170087939008241
26,,,,,,,7.4031520329,0.0242849149899254,,
,26.5,1,0.3006812423,0.00491924503149718,0.3006812423,0.00491924503149718,,,7.55349265405,0.017347284829446
27,,,,,,,7.7038332752,0.0247781368901661,,
,27.5,1,0.3117251707,0.00519661974592942,0.3117251707,0.00519661974592942,,,7.85969586055,0.0177124037914071
28,,,,,,,8.0155584459,0.025317206096479,,
,28.5,1,0.303543764,0.00516537232591326,0.303543764,0.00516537232591326,,,8.1673303279,0.0180873085361567
29,,,,,,,8.3191022099,0.0258387692392054,,
,29.5,1,0.3269324542,0.00498135591665543,0.3269324542,0.00498135591665543,,,8.482568437,0.0184397525631596
30,,,,,,,8.6460346641,0.0263145568567153,,
,30.5,1,0.3316759674,0.0051139579708859,0.3316759674,0.0051139579708859,,,8.8118726478,0.0187820683848891
31,,,,,,,8.9777106315,0.0268068735344742,,
,31.5,1,0.3013529178,0.00496590746434315,0.3013529178,0.00496590746434315,,,9.1283870904,0.0191172512036315
32,,,,,,,9.2790635493,0.0272629548222072,,
,32.5,1,0.3043874209,0.00515959432923451,0.3043874209,0.00515959432923451,,,9.43125725975,0.0194496711085155
33,,,,,,,9.5834509702,0.0277468938672418,,
,33.5,1,0.2929391612,0.00522738529937429,0.2929391612,0.00522738529937429,,,9.7299205508,0.0197933435504722
34,,,,,,,9.8763901314,0.0282350079927046,,
,34.5,1,0.3035545837,0.00525554248557579,0.3035545837,0.00525554248557579,,,10.02816742325,0.0201373538449934
35,,,,,,,10.1799447151,0.0287199652361521,,
